id,address_id,confidence,match_type
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,5863,1.0,exact
none-264-north-9th-street-none-brooklyn-ny-11211,26058,1.0,exact
none-218-north-5th-street-none-brooklyn-ny-11211,16,1.0,fuzzy
none-30-bayard-street-unit-5f-brooklyn-ny-11211,3242,1.0,exact
none-512-lorimer-street-none-brooklyn-ny-11211,21546,1.0,exact
none-bayard-street-unit-2d-brooklyn-ny-11211,161,1.0,fuzzy
none-jackson-street-unit-2-brooklyn-ny-11211,22,1.0,fuzzy
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,152,1.0,fuzzy
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,152,1.0,fuzzy
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,8386,1.0,exact
none-manhattan-avenue-none-brooklyn-ny-11211,152,1.0,fuzzy
none-division-avenue-unit-16-brooklyn-ny-11211,1,1.0,fuzzy
none-skillman-avenue-unit-1a-brooklyn-ny-11211,78,1.0,fuzzy
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,128,1.0,fuzzy
none-north-11th-street-unit-4w-brooklyn-ny-11211,222,1.0,fuzzy
none-havemeyer-street-unit-6a-brooklyn-ny-11211,24,1.0,fuzzy
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,9722,1.0,exact
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,3958,1.0,exact
none-153-south-4th-street-unit-5-williamsburg-ny-11211,6796,1.0,exact
none-north-6th-street-unit-3-brooklyn-ny-11211,41,1.0,fuzzy
none-conselyea-street-unit-1-brooklyn-ny-11211,35,1.0,fuzzy
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,6844,1.0,exact
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,128,1.0,fuzzy
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,1588,1.0,exact
none-237-ainslie-street-none-brooklyn-ny-11211,19437,1.0,exact
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,82,1.0,exact
none-south-5th-street-unit-c1-brooklyn-ny-11211,16,1.0,fuzzy
none-union-avenue-unit-3c-brooklyn-ny-11211,2,1.0,fuzzy
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,128,1.0,fuzzy
none-323-south-5th-street-unit-3-brooklyn-ny-11211,3189,1.0,exact
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,128,1.0,fuzzy
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,128,1.0,fuzzy
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,1880,1.0,exact
none-roebling-street-unit-1-brooklyn-ny-11211,30,1.0,fuzzy
none-skillman-avenue-unit-2-brooklyn-ny-11211-0,78,1.0,fuzzy
none-88-withers-street-unit-5e-brooklyn-ny-11211,537,1.0,exact
none-70-conselyea-street-none-brooklyn-ny-11211,35,1.0,fuzzy
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,38,1.0,exact
none-217-north-11th-street-unit-1-brooklyn-ny-11211,1676,1.0,exact
none-217-219-devoe-street-none-brooklyn-ny-11211,64,1.0,fuzzy
none-222-withers-street-unit-2a-brooklyn-ny-11211,2171,1.0,exact
